l_r,b_a_t_c_h___s_i_z_e,n_u_m___e_p_i_s_o_d_e_s,h_o_r_i_z_o_n,m_e_a_n,s_t_d,m_i_n,m_a_x
0.0005,64,50,20,1.4428123722089257,0.6336859032175539,0.5637352055908561,2.053173520438822
0.0005,64,100,50,3.768048334322818,1.0997983511182312,2.0290328901854258,4.717688870671609
0.0005,64,200,100,7.375580864996975,2.6449814442644515,3.4396823608397358,10.201221752918526
0.0005,128,50,20,1.6165486581964774,0.4371859898584907,1.0441132807118159,2.102901019632516
0.0005,128,100,50,4.0317932234912615,0.6543092692514648,3.356682671224958,5.036049055216186
0.0005,128,200,100,7.99350172009998,1.9340514772115016,6.283754332178489,10.997122214279965
0.0005,256,50,20,1.62981760578328,0.48127874337157706,0.8470330945899789,2.0866638249205196
0.0005,256,100,50,4.036682589932236,0.8193659527314516,2.7260895670739056,4.932187446093611
0.0005,256,200,100,8.373570056536119,2.0663725030754754,5.293956841187369,10.895639747329993
0.001,64,50,20,1.4314515414212243,0.6277344426396168,0.5637352055908561,2.053173520438822
0.001,64,100,50,3.838415736414511,1.0936465465768648,2.0290328901854258,4.861567845345268
0.001,64,200,100,7.7984230678785735,2.711120014217763,3.4396823608397358,10.560919189602673
0.001,128,50,20,1.4860667277046986,0.4251641788870674,1.0441132807118159,2.0470104393816904
0.001,128,100,50,3.8580819375732673,0.6808866575259067,3.147035851026572,4.8963226045891215
0.001,128,200,100,7.555409159400644,2.0748852658273904,5.303020628908311,10.647806087712308
0.001,256,50,20,1.5970823694006175,0.47766798943087535,1.0671555646040287,2.102901019632516
0.001,256,100,50,3.9466777720454354,0.8725472350282524,2.714061278300731,5.036049055216186
0.001,256,200,100,7.984727856461674,2.43166030656341,4.8080588890949825,10.997122214279965
0.002,64,50,20,1.6026716078838334,0.5935847972031225,0.6159112359830121,2.1886630053613896
0.002,64,100,50,4.473089984538847,1.3499985134774513,2.191317119805947,5.7119650908536705
0.002,64,200,100,9.260612864492256,3.161338799179151,3.7657825507907114,11.498954991098927
0.002,128,50,20,1.307905199647213,0.6796332610708472,0.589210528502961,2.3917800134699068
0.002,128,100,50,3.6417148170832023,1.3147510036026093,2.1245653511058187,5.758246539809663
0.002,128,200,100,7.5552389536694715,3.378484927980256,3.598903129040391,12.802615925763659
0.002,256,50,20,1.2873610487504112,0.6695952565360483,0.4259348352143529,2.2627749300334385
0.002,256,100,50,3.4517560307819934,1.3909968813274458,1.5122815012735389,5.435733831218492
0.002,256,200,100,6.94896990041168,3.4048855840491368,2.5784300459865914,11.996334154285732
